Ward_ID,Year,Dimension_Type,Dimension_Key,Population
0,2016,Income,1,2294785.0
0,2016,Income,2,107560.0
0,2016,Income,3,2187225.0
0,2016,Income,4,388570.0
0,2016,Income,5,411160.0
0,2016,Income,6,290580.0
0,2016,Income,7,221505.0
0,2016,Income,8,188475.0
0,2016,Income,9,144180.0
0,2016,Income,10,114915.0
0,2016,Income,11,89780.0
0,2016,Income,12,69855.0
0,2016,Income,13,58180.0
0,2016,Income,14,210030.0
0,2016,Income,15,119810.0
0,2016,Income,16,90220.0
1,2016,Income,17,95290.0
1,2016,Income,18,5845.0
1,2016,Income,19,89445.0
1,2016,Income,20,18485.0
1,2016,Income,21,20100.0
1,2016,Income,22,14395.0
1,2016,Income,23,11015.0
1,2016,Income,24,8635.0
1,2016,Income,25,5675.0
1,2016,Income,26,3700.0
1,2016,Income,27,2570.0
1,2016,Income,28,1570.0
1,2016,Income,29,1230.0
1,2016,Income,30,2065.0
1,2016,Income,31,1680.0
1,2016,Income,32,395.0
2,2016,Income,33,98785.0
2,2016,Income,34,4110.0
2,2016,Income,35,94675.0
2,2016,Income,36,13910.0
2,2016,Income,37,14750.0
2,2016,Income,38,11945.0
2,2016,Income,39,9280.0
2,2016,Income,40,8445.0
2,2016,Income,41,7065.0
2,2016,Income,42,6165.0
2,2016,Income,43,4665.0
2,2016,Income,44,3800.0
2,2016,Income,45,3380.0
2,2016,Income,46,11260.0
2,2016,Income,47,6305.0
2,2016,Income,48,4965.0
3,2016,Income,49,110720.0
3,2016,Income,50,3750.0
3,2016,Income,51,106965.0
3,2016,Income,52,14865.0
3,2016,Income,53,16495.0
3,2016,Income,54,12630.0
3,2016,Income,55,10600.0
3,2016,Income,56,9860.0
3,2016,Income,57,8010.0
3,2016,Income,58,6965.0
3,2016,Income,59,5505.0
3,2016,Income,60,4550.0
3,2016,Income,61,3770.0
3,2016,Income,62,13720.0
3,2016,Income,63,8100.0
3,2016,Income,64,5620.0
4,2016,Income,65,90625.0
4,2016,Income,66,3245.0
4,2016,Income,67,87380.0
4,2016,Income,68,12630.0
4,2016,Income,69,14210.0
4,2016,Income,70,10670.0
4,2016,Income,71,8150.0
4,2016,Income,72,7585.0
4,2016,Income,73,6075.0
4,2016,Income,74,5305.0
4,2016,Income,75,4165.0
4,2016,Income,76,3330.0
4,2016,Income,77,3105.0
4,2016,Income,78,12145.0
4,2016,Income,79,6680.0
4,2016,Income,80,5465.0
5,2016,Income,81,95660.0
5,2016,Income,82,5175.0
5,2016,Income,83,90485.0
5,2016,Income,84,15900.0
5,2016,Income,85,20005.0
5,2016,Income,86,14965.0
5,2016,Income,87,11305.0
5,2016,Income,88,8695.0
5,2016,Income,89,6200.0
5,2016,Income,90,4355.0
5,2016,Income,91,2725.0
5,2016,Income,92,2175.0
5,2016,Income,93,1505.0
5,2016,Income,94,2655.0
5,2016,Income,95,2140.0
5,2016,Income,96,520.0
6,2016,Income,97,88040.0
6,2016,Income,98,4235.0
6,2016,Income,99,83805.0
6,2016,Income,100,14110.0
6,2016,Income,101,17505.0
6,2016,Income,102,13575.0
6,2016,Income,103,9915.0
6,2016,Income,104,7865.0
6,2016,Income,105,5360.0
6,2016,Income,106,3875.0
6,2016,Income,107,2765.0
6,2016,Income,108,2165.0
6,2016,Income,109,1685.0
6,2016,Income,110,4985.0
6,2016,Income,111,3075.0
6,2016,Income,112,1910.0
7,2016,Income,113,87560.0
7,2016,Income,114,5415.0
7,2016,Income,115,82145.0
7,2016,Income,116,16870.0
7,2016,Income,117,19855.0
7,2016,Income,118,14250.0
7,2016,Income,119,10440.0
7,2016,Income,120,7885.0
7,2016,Income,121,4940.0
7,2016,Income,122,2875.0
7,2016,Income,123,1790.0
7,2016,Income,124,1190.0
7,2016,Income,125,810.0
7,2016,Income,126,1240.0
7,2016,Income,127,1020.0
7,2016,Income,128,215.0
8,2016,Income,129,92465.0
8,2016,Income,130,4495.0
8,2016,Income,131,87970.0
8,2016,Income,132,13180.0
8,2016,Income,133,13510.0
8,2016,Income,134,11120.0
8,2016,Income,135,8665.0
8,2016,Income,136,7225.0
8,2016,Income,137,5415.0
8,2016,Income,138,4405.0
8,2016,Income,139,3445.0
8,2016,Income,140,2780.0
8,2016,Income,141,2375.0
8,2016,Income,142,15845.0
8,2016,Income,143,6540.0
8,2016,Income,144,9305.0
9,2016,Income,145,93955.0
9,2016,Income,146,3180.0
9,2016,Income,147,90775.0
9,2016,Income,148,13805.0
9,2016,Income,149,18375.0
9,2016,Income,150,13745.0
9,2016,Income,151,10045.0
9,2016,Income,152,8475.0
9,2016,Income,153,6275.0
9,2016,Income,154,5235.0
9,2016,Income,155,4220.0
9,2016,Income,156,2945.0
9,2016,Income,157,2145.0
9,2016,Income,158,5500.0
9,2016,Income,159,4070.0
9,2016,Income,160,1435.0
10,2016,Income,161,106895.0
10,2016,Income,162,2260.0
10,2016,Income,163,104630.0
10,2016,Income,164,13455.0
10,2016,Income,165,13310.0
10,2016,Income,166,9625.0
10,2016,Income,167,8390.0
10,2016,Income,168,8940.0
10,2016,Income,169,8175.0
10,2016,Income,170,7895.0
10,2016,Income,171,7295.0
10,2016,Income,172,5785.0
10,2016,Income,173,4490.0
10,2016,Income,174,17270.0
10,2016,Income,175,10595.0
10,2016,Income,176,6675.0
11,2016,Income,177,91375.0
11,2016,Income,178,2845.0
11,2016,Income,179,88535.0
11,2016,Income,180,16250.0
11,2016,Income,181,13535.0
11,2016,Income,182,9835.0
11,2016,Income,183,7170.0
11,2016,Income,184,6500.0
11,2016,Income,185,5230.0
11,2016,Income,186,4350.0
11,2016,Income,187,4060.0
11,2016,Income,188,3145.0
11,2016,Income,189,2770.0
11,2016,Income,190,15690.0
11,2016,Income,191,6770.0
11,2016,Income,192,8915.0
12,2016,Income,193,92245.0
12,2016,Income,194,3000.0
12,2016,Income,195,89245.0
12,2016,Income,196,12125.0
12,2016,Income,197,12900.0
12,2016,Income,198,10225.0
12,2016,Income,199,7855.0
12,2016,Income,200,7570.0
12,2016,Income,201,6165.0
12,2016,Income,202,5220.0
12,2016,Income,203,4550.0
12,2016,Income,204,3640.0
12,2016,Income,205,2915.0
12,2016,Income,206,16085.0
12,2016,Income,207,7100.0
12,2016,Income,208,8980.0
13,2016,Income,209,91410.0
13,2016,Income,210,3030.0
13,2016,Income,211,88375.0
13,2016,Income,212,16300.0
13,2016,Income,213,16910.0
13,2016,Income,214,9805.0
13,2016,Income,215,7715.0
13,2016,Income,216,7160.0
13,2016,Income,217,5650.0
13,2016,Income,218,4975.0
13,2016,Income,219,4215.0
13,2016,Income,220,3460.0
13,2016,Income,221,2730.0
13,2016,Income,222,9450.0
13,2016,Income,223,5805.0
13,2016,Income,224,3645.0
14,2016,Income,225,88795.0
14,2016,Income,226,3095.0
14,2016,Income,227,85700.0
14,2016,Income,228,12860.0
14,2016,Income,229,15905.0
14,2016,Income,230,10155.0
14,2016,Income,231,7450.0
14,2016,Income,232,6490.0
14,2016,Income,233,5505.0
14,2016,Income,234,4775.0
14,2016,Income,235,3845.0
14,2016,Income,236,3510.0
14,2016,Income,237,3265.0
14,2016,Income,238,11935.0
14,2016,Income,239,7160.0
14,2016,Income,240,4775.0
15,2016,Income,241,82625.0
15,2016,Income,242,4565.0
15,2016,Income,243,78060.0
15,2016,Income,244,12720.0
15,2016,Income,245,11605.0
15,2016,Income,246,7605.0
15,2016,Income,247,5830.0
15,2016,Income,248,5365.0
15,2016,Income,249,4595.0
15,2016,Income,250,3975.0
15,2016,Income,251,3300.0
15,2016,Income,252,2920.0
