Population,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Age,2761285,115120,117200,139920,104715,115675,107355,111200,114820,104730,135400,102385,114095,116930,104555,101025,94335,112590,117130,108500,110095,111560,103690,94025,102755,101485
  0 to 4 years,123385,5755,5105,6765,4770,6045,5265,5785,5835,4665,4420,3130,4520,3720,5350,4615,4600,4375,4525,6035,5610,5165,4000,3770,5195,4365
  5 to 9 years,128805,6160,5825,6180,5015,6060,5205,6205,6205,4430,2765,2900,4345,3135,5775,5915,4755,4780,4480,6455,6230,5880,4480,4660,5890,5080
  10 to 14 years,131150,6585,6370,5515,5230,6360,5085,6780,7075,4005,2085,2950,4595,2455,5060,6770,5225,5010,4425,6195,6285,5920,4815,4665,6090,5590
  15 to 19 years,133820,7085,6540,5160,4680,6390,5705,7175,7220,3895,2195,3490,4485,3445,4200,6665,5225,5090,5035,5480,6425,6440,4930,4750,6030,6105
  20 to 24 years,184570,9645,6600,7040,4550,7490,7225,9380,7145,5595,10385,9715,5840,12140,4855,6035,5660,7610,8180,5295,7060,8155,6715,6835,7820,7585
  25 to 29 years,242615,10095,6820,11455,7690,8205,7840,8750,6975,9930,28800,13380,10945,17365,6620,5910,6735,10450,11500,6085,7285,8935,7605,7150,8560,7540
  30 to 34 years,245705,8125,6755,13980,10640,8450,7570,7460,7575,12345,27255,11965,12845,16335,9015,6495,6820,9870,11985,7760,7380,8055,7025,6595,7245,6140
  35 to 39 years,212845,7265,7395,12460,9900,8400,7560,7445,7580,10760,15870,8315,10070,11390,9515,6380,6280,8405,9520,8765,7645,7455,6305,5645,6535,5980
  40 to 44 years,184665,6905,7045,10305,8465,7845,7710,7180,7910,8415,9345,5805,7505,7635,8915,6565,6250,6975,7880,8915,7500,6685,5655,5185,6410,5660
  45 to 49 years,174740,7035,7135,9380,7925,7325,7305,6605,7955,7045,6630,5405,7130,6535,7935,7075,6095,6740,7455,8010,7370,6905,6010,5350,6200,6200
  50 to 54 years,182850,7515,8380,9215,7345,7970,7515,7685,8195,6660,5580,5805,6970,6850,7405,7895,6470,7265,7660,8140,8010,7490,6955,6475,6765,6640
  55 to 59 years,189830,7925,9530,9705,7010,8875,7975,7715,8005,6315,5035,6165,6855,7165,7555,7275,6730,7110,7520,8075,8670,8390,8060,7455,6805,7915
  60 to 64 years,169370,7070,8675,9140,6260,7860,6970,6550,7210,5675,4450,5280,6375,5940,6225,6330,5870,6645,6905,7085,7575,7460,7215,6745,6490,7360
  65 to 69 years,139105,5495,7165,7315,5100,5900,5290,4830,5945,4640,3580,4765,6165,4325,5315,5400,4820,5855,5895,5675,5815,5955,6365,5990,5205,6325
  70 to 74 years,118280,4745,6020,6365,4230,4470,4515,3920,5325,3640,2845,4805,5635,3660,4525,4365,4285,5815,5145,4485,4650,4515,5905,5045,3980,5390
  75 to 79 years,79765,3140,4060,4065,2500,3035,2815,2825,3355,2655,1825,3485,4120,2385,2655,3250,3360,4195,3530,2680,2705,3070,4210,3080,3055,3705
  80 to 84 years,59920,2390,3575,3000,1715,2295,2845,2525,2485,2065,1170,2515,2905,1435,1985,1960,2580,3260,2805,1695,1920,2470,3470,2390,2275,2180
  85 to 89 years,37815,1435,2555,1830,1105,1665,1845,1595,1645,1275,770,1695,1735,670,1060,1345,1545,1905,1595,1040,1250,1670,2580,1435,1440,1135
  90 years and over,22060,745,1650,1045,575,1035,1110,805,1185,715,395,820,1070,355,595,770,1030,1230,1085,620,715,935,1395,810,770,590
,,,,,,,,,,,,,,,,,,,,,,,,,,
Median age,39.6,38,45.2,40.8,40,40.4,41.6,37.6,41.2,38.4,32.8,36.8,39.6,34.8,40.8,41.2,41.2,40.4,39.2,41.2,40.8,40,45.2,42.8,38.4,42
,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Occupied private dwellings by structural type of dwelling - 25% sample data,1160895,38135,45345,65575,49445,45055,41265,37675,45910,45670,80730,53510,58110,68965,46235,40030,38285,45780,50550,45705,41905,40565,38345,29545,36240,32315
  Single-detached house,270350,11270,21860,18585,8855,13190,10350,4690,17190,6470,500,4180,8850,250,8410,14730,5425,8825,12425,12790,14850,13880,11075,11790,12225,17685
  Semi-detached house,73160,1425,875,1365,4215,3315,3055,7475,1490,6655,595,3590,2795,660,9535,2830,2145,3650,930,6620,2525,760,1365,2625,750,1940
  Row house,63170,3645,2005,2340,1175,1265,1215,4150,1615,2380,2470,2215,905,2345,2880,1180,2795,4065,1715,1695,2320,2855,4500,4615,2180,4640
  Apartment or flat in a duplex,46470,3790,785,1500,2120,1845,1930,1140,2245,3055,890,1710,1580,330,2515,410,300,590,1525,2170,3070,3955,1555,2195,2475,2790
  Apartment in a building that has fewer than five storeys,162260,2015,1925,11100,14040,7105,6810,4725,8030,18090,4945,14045,11040,6490,12505,4825,5035,2945,3235,10780,4540,2210,1685,1490,1435,1215
  Apartment in a building that has five or more storeys,542625,15980,17860,30645,18955,18300,17860,15480,15340,8520,71070,27355,32900,58730,10185,16035,22545,25675,30705,11505,14260,16840,18080,6630,17140,4025
  Other single-attached house,2760,10,25,35,70,35,45,10,0,505,265,410,45,155,200,20,40,25,20,125,330,45,80,190,40,20
  Movable dwelling,95,0,0,0,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Tenure (includes band housing),1160885,38130,45345,65570,49440,45050,41270,37675,45910,45670,80735,53505,58110,68965,46235,40030,38285,45785,50555,45700,41905,40560,38350,29545,36245,32315
  Owned,602910,20790,30565,37310,21610,21685,20535,18070,24515,23650,33845,23085,22430,20665,25380,20815,16940,25990,29340,25515,22735,23045,25370,23465,19925,25650
    Part of a condominium,220195,6380,8080,16375,5350,4490,7170,4520,5815,3870,30610,10665,9535,17955,2865,4255,8975,12715,16915,3905,3985,7505,11450,6660,6175,3970
    Not part of a condominium,382715,14405,22485,20935,16260,17200,13360,13550,18705,19775,3235,12420,12895,2705,22510,16555,7970,13270,12425,21610,18750,15540,13920,16805,13750,21685
  Rented,557970,17340,14780,28260,27835,23370,20735,19605,21395,22025,46885,30420,35680,48300,20855,19215,21340,19790,21210,20190,19165,17520,12975,6085,16320,6665
    Part of a condominium,133020,2535,1630,8575,2080,1030,2570,1630,2885,2955,36650,9775,6435,18465,1710,1685,3040,6710,10740,1230,985,2750,2915,1465,1810,760
    Not part of a condominium,424950,14810,13155,19685,25755,22340,18160,17980,18515,19065,10235,20645,29240,29835,19145,17530,18300,13085,10475,18960,18185,14775,10060,4615,14510,5905
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Occupied private dwellings by period of construction - 25% sample data,1160895,38135,45345,65575,49440,45055,41265,37675,45915,45670,80730,53510,58105,68965,46235,40030,38285,45785,50550,45705,41905,40565,38345,29545,36245,32315
  1960 or before,340185,8360,13460,20840,26825,16165,10355,7285,17905,24690,5350,21470,21380,10600,27960,14225,9215,4105,6370,25265,16845,14465,3370,1430,9580,2680
  1961 to 1980,333985,15990,21760,12020,12280,15310,14800,19205,11610,7590,5350,9190,14435,14650,8530,11760,16645,22140,9235,10755,12385,13310,18390,11625,15155,9875
  1981 to 1990,109780,5760,3025,4105,2660,4060,4615,3865,3660,2535,5815,4310,4180,6970,2560,3105,3825,3735,5105,2390,3470,2880,6975,8150,3565,8450
  1991 to 2000,92980,4445,1795,5035,1735,4925,3350,2445,3790,2165,5985,3175,3900,6655,1750,3395,3355,2330,7180,2670,3240,3585,3655,3365,3935,5115
  2001 to 2005,58975,1055,910,4010,795,1960,1310,1030,2250,1405,8675,2640,1945,3640,720,1875,1670,2060,7940,1325,985,2260,1330,2585,1510,3085
  2006 to 2010,63995,1175,1025,5110,1605,1060,1940,1455,1515,1685,13270,3120,2750,5485,1415,1830,1350,2355,6410,940,2050,1550,1030,1125,1135,1600
  2011 to 2015,75985,745,1905,7040,2110,640,2300,1175,2225,3170,19235,4480,2265,7275,1620,1830,875,4225,5635,960,1410,1305,1670,670,520,690
  2016 to 2021,85000,590,1455,7405,1430,940,2605,1225,2960,2435,17050,5120,7250,13685,1675,2010,1340,4830,2675,1405,1520,1200,1930,595,850,820
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Maintainers,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Private households by number of household maintainers - 25% sample data,1160895,38135,45345,65575,49440,45055,41265,37675,45915,45670,80730,53510,58105,68965,46235,40030,38285,45785,50550,45705,41905,40565,38345,29545,36245,32315
  1 household maintainer,634725,18585,21785,36410,27575,24870,20475,19790,24525,22635,52335,32500,35670,46910,24070,22115,21275,23950,27260,24330,22445,20640,19110,13025,18935,13515
  2 household maintainers,447155,14400,20770,26700,20060,16410,16590,12825,19100,19805,26290,18455,20855,19950,20025,16450,14465,18100,19665,19415,16045,15610,14965,12170,13440,14605
  3 or more household maintainers,79015,5145,2790,2465,1810,3775,4200,5060,2290,3235,2105,2550,1590,2110,2135,1465,2550,3740,3630,1955,3415,4315,4270,4350,3870,4200
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Private households by age of primary household maintainers - 25% sample data,1160895,38135,45345,65575,49440,45055,41265,37675,45915,45670,80730,53510,58105,68965,46235,40030,38285,45785,50550,45705,41905,40565,38345,29545,36245,32315
  15 to 24 years,34350,680,305,1180,700,555,670,1040,600,1045,5700,4575,1660,6645,670,475,470,1285,2105,530,495,935,625,415,650,345
  25 to 34 years,202225,4250,3535,12245,9355,5145,4905,4145,5560,10160,35645,13910,12840,20360,6890,4690,4580,7605,9915,5365,4275,4365,3750,2405,4130,2205
  35 to 44 years,210570,6410,6880,12950,10675,8345,7190,6805,8040,10410,17420,8445,10620,12665,10110,6870,6415,7845,9000,9535,7370,6650,5035,4145,6245,4510
  45 to 54 years,204790,7615,8345,11325,9410,8640,8130,7565,9160,7705,8395,6780,9055,9505,9005,8720,7340,7780,8535,9515,8820,7855,6420,5635,7125,6400
  55 to 64 years,215745,8605,10335,12065,8635,10270,8405,8075,9200,7060,6315,7305,8525,9850,8550,8275,7745,7690,8395,9820,9925,9150,8270,7305,7605,8380
  65 to 74 years,158850,5870,7875,8860,6215,6495,6075,4975,7055,4850,4290,6390,8070,6185,6480,6050,5755,6715,6625,6690,6680,6160,6950,5700,5535,6320
  75 to 84 years,90905,3310,4990,4730,3075,3570,3690,3335,4075,3030,2060,4110,5025,2940,3220,3425,4035,4650,4065,2985,2975,3640,4590,2850,3350,3175
  85 years and over,43460,1390,3080,2220,1370,2030,2205,1735,2230,1405,905,1990,2310,830,1305,1540,1950,2210,1920,1270,1360,1810,2705,1095,1600,995
,,,,,,,,,,,,,,,,,,,,,,,,,,
Families and Households,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total children in census families in private households,795475,42400,38175,34540,26425,39520,34215,41265,37550,26270,15980,17645,24890,17535,28750,33485,30435,31220,29705,33015,37060,37470,31970,32380,36270,37290
  Under 6 years of age,148475,7005,6195,8090,5740,7280,6330,6935,7095,5495,4960,3680,5470,4395,6555,5665,5495,5285,5375,7315,6790,6315,4855,4595,6360,5195
  6 to 14 years,232870,11350,11030,10320,9220,11040,9150,11690,11880,7545,4275,5295,7970,4840,9595,11595,9020,8795,8000,11300,11220,10530,8380,8435,10705,9685
  15 to 17 years,76465,4130,3790,3160,2800,3575,3155,3905,4350,2250,1070,1655,2655,1545,2530,4180,3110,2820,2740,3355,3740,3655,2735,2575,3650,3335
  18 to 24 years,162625,9160,8335,6360,4810,8285,7630,8915,8475,4545,2300,3520,4840,3445,4860,7310,6235,6375,5970,5950,7755,7940,6590,6905,7475,8645
  25 years and over,175040,10755,8830,6615,3860,9335,7960,9815,5750,6435,3370,3495,3955,3305,5205,4730,6585,7945,7620,5095,7565,9030,9415,9860,8085,10425
,,,,,,,,,,,,,,,,,,,,,,,,,,
Total number of census families in private households - 25% sample data,732965,30120,33735,38325,27375,31470,29335,28895,30595,27935,30775,24245,29720,24620,28385,27375,25535,31690,32090,29545,29445,29910,29220,26700,27470,28450
  Total couple families,581065,21510,27140,31835,22850,21695,22300,18865,25035,22735,26900,20920,24975,20230,23335,23295,19450,25725,26465,23835,22530,22645,23010,20830,20475,22475
    Married couples,485095,19665,24405,25585,16810,18295,19675,16730,22145,16395,16145,15025,19180,12830,17530,20820,17260,23265,23430,19410,19495,20450,21450,19645,18660,20800
      With children,288555,12725,14530,13870,10145,11605,12080,11045,14065,9820,6030,6990,9700,5725,10810,13405,10585,13140,13065,12470,12895,13170,12510,12395,12095,13680
      Without children,196540,6945,9875,11710,6665,6690,7590,5680,8080,6575,10120,8035,9480,7105,6715,7420,6670,10125,10360,6940,6605,7280,8945,7250,6565,7125
    Common-law couples,95970,1845,2735,6255,6040,3405,2630,2135,2885,6345,10755,5890,5795,7400,5805,2470,2195,2465,3040,4425,3030,2195,1560,1185,1815,1675
      With children,25280,955,1170,1460,1350,1555,1090,1180,865,1505,995,765,1055,665,1480,745,780,620,510,1455,1300,910,590,620,815,865
      Without children,70690,890,1565,4790,4695,1855,1540,960,2020,4835,9755,5125,4740,6740,4320,1725,1415,1850,2530,2970,1735,1285,965,570,1000,815
  Total one-parent families,151900,8615,6600,6485,4525,9775,7030,10030,5560,5195,3880,3330,4750,4385,5050,4085,6085,5955,5625,5710,6910,7270,6210,5870,6990,5970
    in which the parent is a woman+,126800,7090,5395,5125,3760,8330,5870,8635,4745,4210,3120,2780,3970,3890,4080,3405,5250,5095,4810,4670,5845,6125,5100,4655,5925,4910
    in which the parent is a man+,25100,1520,1200,1360,760,1440,1160,1390,815,995,760,550,780,490,970,685,830,865,815,1035,1070,1150,1110,1220,1060,1060
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Household type - 25% sample data,1160890,38130,45345,65575,49440,45050,41270,37675,45915,45670,80735,53505,58110,68965,46235,40030,38285,45785,50555,45700,41905,40560,38350,29545,36245,32315
  One-census-family households without additional persons,609285,21640,28985,34565,25045,25100,23090,20460,26825,23110,28490,21975,27490,22840,25260,24720,21730,26220,26960,26435,24055,23100,22085,17585,20985,20545
    Couple-family households,494930,15800,23780,29180,21295,17770,18140,13540,22400,19395,25290,19210,23505,19045,21140,21265,16870,21640,22605,21815,18830,17915,17640,14140,15840,16875
      With children,266945,10420,13870,13990,10825,10980,10800,9115,13360,9690,6465,7085,9945,5955,11185,12950,9985,11685,11710,12900,11930,11390,10240,9160,10220,11075
      Without children,227985,5380,9905,15195,10470,6785,7335,4425,9040,9705,18825,12130,13560,13090,9955,8320,6885,9955,10890,8915,6895,6525,7400,4980,5615,5795
    One-parent-family households,114360,5835,5205,5385,3745,7335,4950,6920,4425,3715,3200,2765,3985,3795,4115,3455,4860,4580,4360,4615,5220,5180,4445,3445,5145,3670
  Multigenerational households,40875,2930,1755,1230,605,2030,1790,2800,1095,1610,555,490,700,475,1095,960,1330,1775,1460,920,1755,2290,2580,3370,2155,3100
  Multiple-census-family households,9530,645,370,250,190,540,535,695,285,295,200,250,105,120,155,190,260,395,490,210,440,570,555,725,495,565
  One-census-family households with additional persons,40570,2455,1385,1460,1105,2120,2340,2495,1545,1665,1055,1050,1010,870,1185,815,1310,1980,1830,1345,1750,2030,2065,2110,1915,1690
  Two-or-more-person non-census-family households,75105,2680,1745,3550,2870,2410,2415,2940,2070,3990,8235,5675,3295,7085,2520,1500,1960,2865,3845,2190,2255,2505,1865,1340,2045,1260
