Neighbourhoods,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,
Agincourt/Malvern,**,,"1,107",a ,"1,251",b ,"1,361",a ,"1,239",a 
Ajax/Pickering,**,,946,b ,"1,212",a ,"1,302",a ,"1,270",a 
Alderwood,**,,"1,036",c ,"1,264",c ,**,,"1,245",c 
Aurora,**,,"1,076",a ,"1,270",a ,**,,"1,286",a 
Banbury-Don Mills/York Mills,881,b ,"1,097",a ,"1,253",a ,"1,565",a ,"1,218",a 
Bathurst Manor,797,a ,"1,101",a ,"1,259",a ,"1,435",a ,"1,237",a 
Bay Street Corridor,"1,450",a ,"1,728",a ,"2,885",b ,**,,"2,027",a 
Bayview Village,**,,"1,325",b ,"1,571",b ,**,,"1,499",b 
Bayview Woods-Steeles/Hillcrest Village,**,,"1,401",a ,"1,662",b ,"1,709",b ,"1,614",b 
Bedford Park-Nortown,889,b ,"1,086",a ,"1,417",b ,"1,988",c ,"1,271",b 
Beechborough-Greenbrook,776,a ,897,a ,"1,109",b ,**,,"1,001",a 
Bendale,866,a ,"1,028",a ,"1,119",a ,"1,261",c ,"1,136",a 
Birchcliffe-Cliffside,877,a ,"1,121",b ,"1,380",b ,**,,"1,237",b 
Black Creek,918,a ,981,a ,"1,142",a ,"1,367",a ,"1,145",a 
Bradford/West Gwillimbury/New Tecumseth,827,b ,920,a ,"1,089",a ,"1,338",b ,"1,023",a 
Brampton (East),835,a ,"1,170",a ,"1,314",a ,"1,405",a ,"1,280",a 
Brampton (West),771,a ,"1,024",a ,"1,184",a ,"1,404",a ,"1,143",a 
Briar Hill-Belgravia,742,c ,"1,020",b ,"1,248",c ,"1,428",d ,"1,121",c 
Broadview North,889,a ,"1,099",a ,"1,326",a ,**,,"1,137",a 
Bronte,**,,"1,253",a ,"1,485",a ,"1,784",b ,"1,408",a 
Brookhaven-Amesbury,748,b ,945,a ,"1,122",a ,"1,402",a ,"1,092",b 
Cabbagetown-South St. James Town,953,c ,"1,252",b ,"1,778",b ,**,,"1,298",b 
Caledon,**,,**,,**,,**,,**,
Caledonia-Fairbank,769,c ,927,a ,"1,108",b ,**,,"1,001",a 
Casa Loma,"1,029",a ,"1,382",a ,"2,106",c ,"3,240",b ,"1,763",c 
Churchill Meadows/Erin Mills,855,a ,991,a ,"1,203",a ,"1,600",a ,"1,301",a 
Church-Yonge Corridor,"1,073",a ,"1,362",a ,"1,780",a ,**,,"1,349",a 
Clairlea-Birchmount,889,a ,948,a ,"1,153",a ,**,,"1,020",a 
