Neighbourhoods,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,
East Gwillimbury/Newmarket,763,c ,"1,155",b ,"1,260",b ,**,,"1,192",a 
Edenbridge-Humber Valley,**,,"1,041",b ,"1,253",c ,**,,"1,218",c 
Eglinton East,914,a ,984,a ,"1,136",a ,"1,399",b ,"1,127",a 
Elms-Old Rexdale,**,,**,,"1,257",a ,"1,441",b ,"1,281",b 
Englemount-Lawrence,905,b ,"1,059",a ,"1,249",b ,"1,629",b ,"1,217",b 
Eringate-Centennial-West Deane,**,,**,,"1,203",b ,**,,"1,212",b 
Etobicoke West Mall,**,,"1,081",a ,"1,317",a ,"1,471",a ,"1,298",a 
Flemingdon Park,**,,"1,038",a ,"1,236",a ,"1,403",a ,"1,169",a 
Forest Hill North,958,a ,"1,190",a ,"1,541",a ,"2,008",b ,"1,356",a 
Forest Hill South,970,b ,"1,168",b ,"1,577",c ,**,,"1,264",b 
Georgina,**,,798,b ,"1,001",b ,**,,958,b 
Guildwood,**,,**,,**,,**,,**,
Henry Farm,**,,"1,257",a ,"1,429",a ,"1,635",a ,"1,417",a 
High Park North/Junction,"1,064",b ,"1,388",a ,"1,808",a ,"2,552",b ,"1,504",a 
High Park-Swansea,**,,"1,161",b ,"1,390",c ,**,,"1,224",c 
Humber Heights-Westmount,**,,"1,239",a ,"1,369",a ,"1,514",a ,"1,353",a 
Humewood-Cedarvale,941,a ,"1,343",b ,"2,091",c ,"2,956",d ,"1,593",b 
Ionview,935,a ,"1,044",a ,"1,192",a ,"1,456",a ,"1,131",a 
Islington/City Centre North,"1,223",b ,"1,261",b ,"1,428",b ,"1,506",a ,"1,359",a 
Islington/City Centre South,"1,023",a ,**,,"1,341",a ,**,,"1,251",a 
Keelesdale-Eglinton West,773,b ,897,a ,"1,046",a ,**,,930,a 
Kennedy Park,709,a ,961,a ,"1,095",a ,"1,251",a ,"1,046",a 
Kensington-Chinatown,**,,**,,**,,**,,**,
Kingsview Village-The Westway,"1,107",b ,"1,140",a ,"1,317",a ,"1,529",a ,"1,299",a 
Kingsway South,**,,**,,**,,**,,**,
Lambton Baby Point,773,b ,"1,059",b ,**,,**,,"1,290",d 
L'Amoreaux/Steeles/Milliken,**,,"1,078",a ,"1,258",a ,"1,412",a ,"1,193",a 
Lansing-Westgate,872,a ,"1,337",a ,"1,537",a ,"1,616",a ,"1,452",a 
Lawrence Park North,"1,098",a ,"1,318",a ,"1,702",b ,**,,"1,459",b 
Lawrence Park South,996,a ,"1,291",a ,"1,762",d ,**,,"1,393",b 
Leaside-Bennington,897,b ,"1,180",b ,"1,593",a ,**,,"1,324",a 
Little Italy/Trinity-Bellwoods,852,d ,**,,"1,487",c ,**,,"1,350",d 
Long Branch,**,,941,b ,"1,075",b ,**,,997,b 
Malton,**,,864,c ,"1,116",b ,**,,"1,083",c 
Maple Leaf,**,,"1,092",b ,"1,263",c ,**,,"1,213",b 
Markham,**,,"1,234",a ,"1,394",a ,"1,544",a ,"1,339",a 
Meadowvale,**,,"1,294",a ,"1,527",a ,"1,635",a ,"1,466",a 
Milton/Halton Hills,700,a ,"1,036",a ,"1,202",a ,"1,594",a ,"1,139",a 
Mimico,837,a ,"1,075",a ,"1,320",a ,"1,595",b ,"1,113",a 
Mississauga Centre/Streetsville,899,a ,"1,189",a ,"1,373",a ,"1,614",a ,"1,347",a 
Moore Park,**,,"1,497",b ,"2,025",c ,**,,"1,737",d 
Morningside,**,,"1,022",a ,"1,085",a ,"1,344",b ,"1,083",a 
Moss Park/Regent Park,878,b ,"1,122",b ,"1,552",a ,**,,"1,248",b 
Mount Dennis,**,,"1,123",b ,"1,243",b ,**,,"1,201",b 
Mount Olive-Silverstone-Jamestown/Thistletown,**,,"1,112",a ,"1,352",b ,"1,467",b ,"1,371",b 
Mount Pleasant East,"1,012",b ,"1,378",b ,"1,894",c ,"2,007",c ,"1,502",b 
Mount Pleasant West,"1,100",a ,"1,377",a ,"1,762",a ,"2,097",b ,"1,428",a 
New Toronto,801,c ,821,b ,"1,045",c ,**,,888,b 
North St. James Town,"1,041",b ,"1,269",c ,"1,390",c ,**,,"1,262",b 
Oakridge,**,,**,,**,,**,,**,
Oakville (excl. Bronte),980,a ,"1,238",a ,"1,434",a ,"1,761",b ,"1,411",a 
Oakwood-Vaughan,802,c ,"1,034",b ,"1,186",c ,**,,"1,072",b 
O'Connor-Parkview,762,b ,997,a ,"1,226",b ,"1,449",b ,"1,144",b 
Old East York,713,c ,"1,065",c ,"1,269",b ,**,,"1,135",b 
Orangeville/Mono,**,,"1,078",a ,"1,190",a ,"1,152",d ,"1,131",a 
Parkwoods-Donalda,937,b ,"1,225",a ,"1,473",a ,"1,638",a ,"1,444",a 
Playter Estates-Danforth,930,b ,"1,189",b ,"1,536",a ,**,,"1,228",b 
Port Credit,915,a ,"1,104",a ,"1,255",a ,"1,551",b ,"1,193",a 
Princess-Rosethorn,**,,**,,**,,**,,**,
Rexdale-Kipling,**,,887,a ,"1,028",a ,"1,180",b ,"1,041",b 
Richmond Hill/Vaughan/King,939,a ,"1,153",a ,"1,388",a ,"1,631",a ,"1,290",a 
Riverdale,**,,**,,"2,027",c ,**,,"1,801",d 
Rockcliffe-Smythe,806,a ,977,a ,"1,174",a ,"1,201",c ,"1,079",a 
Roncesvalles,**,,**,,**,,**,,923,d 
Rosedale,**,,"1,491",a ,"1,807",b ,**,,"1,567",b 
Rouge,**,,**,,"1,135",a ,"1,265",a ,"1,141",a 
Rustic/Pelmo Park/Humberlea,**,,"1,022",a ,"1,177",b ,**,,"1,127",a 
Scarborough Village,**,,"1,089",b ,"1,193",b ,"1,320",b ,"1,189",a 
South Parkdale/King West,850,a ,"1,044",a ,"1,248",b ,**,,"1,034",a 
St. Andrew-Windfields,889,a ,"1,206",a ,"1,428",a ,"1,852",b ,"1,447",b 
Stonegate-Queensway,896,c ,"1,051",a ,"1,160",a ,**,,"1,107",a 
Tam O'Shanter-Sullivan,885,a ,"1,063",a ,"1,212",a ,"1,416",a ,"1,174",a 
The Beaches,880,b ,"1,176",b ,"1,472",d ,**,,"1,209",b 
Thorncliffe Park,915,b ,"1,101",a ,"1,430",a ,"1,786",a ,"1,314",a 
University/Annex,"1,076",a ,"1,353",a ,"1,957",b ,**,,"1,484",b 
Uxbridge,**,,"1,086",c ,"1,355",d ,"1,302",c ,"1,227",d 
Victoria Village,874,a ,"1,076",a ,"1,281",a ,"1,542",b ,"1,178",a 
Waterfront Communities -The Island,**,,"1,883",a ,"2,805",b ,**,,"2,276",b 
West Hill,**,,"1,027",a ,"1,202",b ,"1,378",a ,"1,213",b 
West Humber-Clairville,815,a ,"1,038",a ,"1,153",a ,**,,"1,169",b 
Westminster-Branson,943,a ,"1,177",a ,"1,392",a ,"1,563",a ,"1,359",a 
Weston,851,b ,"1,036",a ,"1,220",a ,**,,"1,117",a 
Wexford-Maryvale,872,a ,"1,006",a ,"1,139",a ,"1,254",b ,"1,071",a 
Whitchurch/Stouffville,**,,"1,116",c ,"1,167",b ,**,,"1,153",b 
Willowdale East/Newtonbrook East,**,,"1,454",a ,"1,815",a ,"2,362",b ,"1,667",a 
Willowdale West/Newtonbrook West,**,,"1,216",a ,"1,396",a ,"1,609",a ,"1,342",a 
Willowridge-Martingrove-Richview,**,,"1,217",b ,"1,630",b ,"1,863",b ,"1,601",b 
Woburn,846,a ,"1,017",a ,"1,174",a ,"1,280",b ,"1,140",a 
Woodbine Corridor/Greenwood-Coxwell,**,,**,,**,,**,,"1,007",c 
Woodbine-Lumsden,**,,"1,008",d ,**,,**,,"1,114",d 
Wychwood,**,,"1,160",c ,**,,**,,"1,168",c 
Yonge-Eglinton,"1,076",a ,"1,316",a ,"1,840",a ,**,,"1,416",a 
Yonge-St. Clair,"1,110",a ,"1,358",a ,"1,735",b ,**,,"1,474",b 
Yorkdale-Glen Park,**,,"1,033",b ,"1,233",b ,"1,235",d ,"1,137",a 
Toronto,"1,013",a ,"1,194",a ,"1,403",a ,"1,589",a ,"1,308",a 
