Neighbourhoods,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,
East Gwillimbury/Newmarket,759,b ,"1,161",b ,"1,286",a ,**,,"1,198",b 
Edenbridge-Humber Valley,**,,"1,189",b ,"1,330",b ,"1,832",c ,"1,346",b 
Eglinton East,"1,109",a ,"1,088",a ,"1,227",a ,"1,368",b ,"1,209",a 
Elms-Old Rexdale,**,,**,,"1,305",a ,"1,513",a ,"1,352",a 
Englemount-Lawrence,998,b ,"1,063",b ,"1,320",b ,"1,734",b ,"1,300",b 
Eringate-Centennial-West Deane,**,,**,,**,,**,,**,
Etobicoke West Mall,**,,"1,161",a ,"1,389",a ,"1,593",a ,"1,373",a 
Flemingdon Park,**,,"1,145",a ,"1,308",a ,"1,496",b ,"1,255",a 
Forest Hill North,"1,027",a ,"1,280",a ,"1,682",b ,"2,233",c ,"1,479",b 
Forest Hill South,"1,100",b ,"1,339",b ,"1,762",b ,**,,"1,435",b 
Georgina,**,,830,a ,"1,008",b ,**,,969,b 
Guildwood,**,,**,,**,,"1,819",c ,"1,430",c 
Henry Farm,**,,"1,388",a ,"1,716",b ,"1,798",a ,"1,625",a 
High Park North/Junction,"1,135",a ,"1,459",a ,"1,820",a ,"2,467",d ,"1,559",a 
High Park-Swansea,**,,"1,216",a ,"1,570",c ,**,,"1,302",c 
Humber Heights-Westmount,**,,"1,309",a ,"1,405",b ,"1,555",b ,"1,397",a 
Humewood-Cedarvale,"1,013",b ,"1,454",a ,"2,156",c ,**,,"1,673",b 
Ionview,913,a ,"1,069",a ,"1,207",a ,"1,378",a ,"1,149",a 
Islington/City Centre North,"1,420",b ,"1,409",b ,"1,567",b ,"1,662",a ,"1,508",a 
Islington/City Centre South,"1,136",a ,"1,196",a ,"1,406",a ,"1,496",a ,"1,326",a 
Keelesdale-Eglinton West,**,,910,c ,945,b ,**,,912,c 
Kennedy Park,719,a ,"1,132",a ,"1,247",a ,"1,420",b ,"1,204",a 
Kensington-Chinatown,**,,**,,**,,**,,**,
Kingsview Village-The Westway,**,,"1,153",a ,"1,337",a ,"1,496",a ,"1,304",a 
Kingsway South,**,,**,,**,,**,,**,
Lambton Baby Point,759,a ,"1,173",b ,"1,165",c ,**,,"1,161",b 
L'Amoreaux/Steeles/Milliken,**,,"1,136",a ,"1,327",a ,"1,456",a ,"1,259",a 
Lansing-Westgate,**,,"1,470",a ,"1,673",a ,"1,776",a ,"1,587",a 
Lawrence Park North,"1,127",b ,"1,256",b ,"1,546",b ,**,,"1,356",b 
Lawrence Park South,"1,084",a ,"1,354",b ,"2,049",d ,**,,"1,437",c 
Leaside-Bennington,"1,066",c ,"1,268",b ,"1,686",c ,**,,"1,359",b 
Little Italy/Trinity-Bellwoods,**,,**,,**,,**,,"1,156",d 
Long Branch,728,d ,972,c ,"1,153",b ,**,,"1,041",c 
Malton,**,,917,a ,"1,181",a ,"1,247",a ,"1,150",a 
Maple Leaf,724,a ,"1,028",b ,"1,196",c ,**,,"1,138",c 
Markham,**,,"1,213",a ,"1,408",a ,"1,538",a ,"1,337",a 
Meadowvale,**,,"1,415",a ,"1,597",a ,"1,651",a ,"1,548",a 
Milton/Halton Hills,767,a ,"1,084",a ,"1,228",a ,"1,620",a ,"1,180",a 
Mimico,902,a ,"1,009",a ,"1,251",a ,**,,"1,104",a 
Mississauga Centre/Streetsville,947,b ,"1,259",a ,"1,438",a ,"1,670",a ,"1,417",a 
Moore Park,"1,164",c ,"1,812",d ,"2,151",b ,**,,"1,910",c 
Morningside,**,,"1,058",a ,"1,175",a ,"1,420",a ,"1,152",a 
Moss Park/Regent Park,975,b ,"1,282",b ,"1,647",b ,"1,828",b ,"1,285",b 
Mount Dennis,971,c ,"1,263",b ,"1,314",c ,**,,"1,298",b 
Mount Olive-Silverstone-Jamestown/Thistletown,**,,"1,201",b ,"1,292",b ,"1,470",b ,"1,347",b 
Mount Pleasant East,"1,087",b ,"1,485",b ,"1,956",b ,**,,"1,624",b 
Mount Pleasant West,"1,224",a ,"1,431",a ,"1,814",a ,"2,486",b ,"1,497",a 
New Toronto,805,c ,999,d ,"1,153",b ,**,,"1,046",c 
North St. James Town,"1,082",b ,"1,260",b ,"1,439",c ,**,,"1,279",b 
Oakridge,**,,**,,**,,**,,**,
Oakville (excl. Bronte),"1,050",a ,"1,295",a ,"1,475",a ,"1,715",b ,"1,442",a 
Oakwood-Vaughan,863,b ,"1,087",b ,"1,360",c ,**,,"1,170",b 
O'Connor-Parkview,880,b ,"1,052",a ,"1,253",a ,"1,505",b ,"1,172",b 
Old East York,854,b ,"1,111",a ,"1,236",a ,**,,"1,123",a 
Orangeville/Mono,901,a ,"1,059",a ,"1,171",a ,"1,106",d ,"1,113",a 
Parkwoods-Donalda,899,b ,"1,199",a ,**,,"1,652",a ,"1,672",d 
Playter Estates-Danforth,973,a ,"1,239",a ,"1,589",a ,**,,"1,275",a 
Port Credit,908,b ,"1,132",a ,"1,313",a ,"1,648",b ,"1,239",a 
Princess-Rosethorn,**,,**,,**,,**,,**,
Rexdale-Kipling,743,c ,963,a ,"1,105",a ,"1,287",b ,"1,115",a 
Richmond Hill/Vaughan/King,"1,020",b ,"1,145",a ,"1,373",a ,"1,591",b ,"1,289",a 
Riverdale,853,d ,"1,189",a ,"1,393",d ,**,,"1,199",b 
Rockcliffe-Smythe,890,a ,"1,068",b ,"1,268",a ,**,,"1,159",b 
Roncesvalles,942,a ,"1,103",b ,"1,465",b ,**,,"1,186",b 
Rosedale,**,,**,,**,,**,,**,
Rouge,**,,**,,"1,163",a ,"1,305",a ,"1,162",a 
Rustic/Pelmo Park/Humberlea,**,,"1,019",d ,"1,135",d ,**,,"1,099",d 
Scarborough Village,931,a ,"1,126",a ,"1,253",a ,"1,453",b ,"1,241",a 
South Parkdale/King West,925,a ,"1,102",a ,"1,281",b ,**,,"1,087",a 
St. Andrew-Windfields,905,b ,"1,287",a ,"1,491",b ,"1,735",b ,"1,463",a 
Stonegate-Queensway,906,c ,"1,052",a ,"1,176",a ,"1,479",c ,"1,112",a 
Tam O'Shanter-Sullivan,925,a ,"1,120",a ,"1,273",a ,"1,482",a ,"1,233",a 
The Beaches,898,b ,"1,241",b ,"1,335",b ,**,,"1,241",a 
Thorncliffe Park,861,a ,"1,128",a ,"1,408",a ,"1,811",a ,"1,317",a 
University/Annex,"1,171",b ,"1,430",b ,"1,956",c ,**,,"1,506",c 
Uxbridge,**,,**,,**,,**,,**,
Victoria Village,891,a ,"1,124",a ,"1,318",a ,"1,586",a ,"1,225",a 
Waterfront Communities -The Island,**,,"1,841",a ,"2,256",a ,**,,"1,983",a 
West Hill,"1,033",a ,"1,053",a ,"1,160",a ,"1,413",a ,"1,192",a 
West Humber-Clairville,858,a ,"1,034",a ,"1,170",a ,"1,617",a ,"1,250",a 
Westminster-Branson,"1,023",a ,"1,301",a ,"1,504",a ,"1,666",a ,"1,468",a 
Weston,826,b ,"1,080",b ,"1,262",a ,"1,441",b ,"1,156",a 
Wexford-Maryvale,922,a ,"1,060",a ,"1,204",a ,"1,321",a ,"1,128",a 
Whitchurch/Stouffville,**,,**,,**,,**,,**,
Willowdale East/Newtonbrook East,**,,"1,465",a ,"1,861",a ,"2,223",a ,"1,691",a 
Willowdale West/Newtonbrook West,**,,"1,292",a ,"1,492",a ,"1,696",b ,"1,419",a 
Willowridge-Martingrove-Richview,**,,"1,158",a ,"1,558",b ,"1,782",b ,"1,521",b 
Woburn,916,a ,"1,098",a ,"1,231",a ,"1,336",b ,"1,201",a 
Woodbine Corridor/Greenwood-Coxwell,810,b ,"1,201",d ,**,,**,,"1,116",c 
Woodbine-Lumsden,**,,"1,116",d ,**,,**,,"1,239",d 
Wychwood,**,,"1,196",c ,**,,**,,**,
Yonge-Eglinton,"1,088",b ,"1,394",a ,"1,795",b ,**,,"1,429",a 
Yonge-St. Clair,"1,180",a ,"1,412",b ,"1,966",c ,**,,"1,626",c 
Yorkdale-Glen Park,**,,"1,100",b ,"1,276",b ,"1,518",a ,"1,215",a 
Toronto,"1,081",a ,"1,261",a ,"1,468",a ,"1,647",a ,"1,370",a 
